Quotazioni Fantacalcio Stagione 2024 25,,,,,,,,,,,,
Id,R,RM,Nome,Squadra,Qt.A,Qt.I,Diff.,Qt.A M,Qt.I M,Diff.M,FVM,FVM M
572,P,Por,Meret,Napoli,19,15,4,19,15,4,93,93
2521,P,Por,De Gea,Fiorentina,19,11,8,19,11,8,72,72
2170,P,Por,Milinkovic-Savic V.,Torino,17,10,7,17,10,7,53,53
2428,P,Por,Sommer,Inter,16,18,-2,16,18,-2,80,80
4312,P,Por,Maignan,Milan,15,15,0,15,15,0,81,81
4431,P,Por,Carnesecchi,Atalanta,14,13,1,14,13,1,79,79
188,P,Por,Leali,Genoa,14,1,13,14,1,13,21,21
5876,P,Por,Di Gregorio,Juventus,14,17,-3,14,17,-3,82,82
6248,P,Por,Stankovic F.,Venezia,14,1,13,14,1,13,20,20
5841,P,Por,Svilar,Roma,13,13,0,13,13,0,67,67
6125,P,Por,Vasquez D.,Empoli,12,5,7,12,5,7,21,21
4867,P,Por,Turati,Monza,12,8,4,12,8,4,15,15
133,P,Por,Skorupski,Bologna,11,11,0,11,11,0,30,30
2814,P,Por,Provedel,Lazio,10,12,-2,10,12,-2,75,75
2134,P,Por,Falcone,Lecce,10,9,1,10,9,1,25,25
387,P,Por,Reina,Como,9,2,7,9,2,7,1,1
6641,P,Por,Suzuki,Parma,9,7,2,9,7,2,21,21
4360,P,Por,Caprile,Cagliari,8,2,6,8,2,6,20,20
2722,P,Por,Ravaglia F.,Bologna,7,1,6,7,1,6,6,6
6842,P,Por,Sava,Udinese,7,1,6,7,1,6,9,9
218,P,Por,Perin,Juventus,6,2,4,6,2,4,16,16
6462,P,Por,Okoye,Udinese,6,7,-1,6,7,-1,5,5
6650,P,Por,Sherri,Cagliari,5,1,4,5,1,4,1,1
574,P,Por,Scuffet,Napoli,4,7,-3,4,7,-3,1,1
4957,P,Por,Montipo',Verona,4,7,-3,4,7,-3,10,10
6966,P,Por,Butez,Como,4,2,2,4,2,2,12,12
2815,P,Por,Terracciano,Fiorentina,3,11,-8,3,11,-8,1,1
761,P,Por,Audero,Como,2,9,-7,2,9,-7,1,1
610,P,Por,Gollini,Roma,2,10,-8,2,10,-8,1,1
4425,P,Por,Joronen,Venezia,2,6,-4,2,6,-4,1,1
2297,P,Por,Rossi F.,Atalanta,1,1,0,1,1,0,1,1
5822,P,Por,Bagnolini,Bologna,1,1,0,1,1,0,1,1
2809,P,Por,Vigorito,Como,1,1,0,1,1,0,1,1
673,P,Por,Perisan,Empoli,1,1,0,1,1,0,1,1
6184,P,Por,Martinelli T.,Fiorentina,1,1,0,1,1,0,1,1
219,P,Por,Sommariva,Genoa,1,1,0,1,1,0,1,1
1926,P,Por,Di Gennaro,Inter,1,1,0,1,1,0,1,1
5116,P,Por,Martinez Jo.,Inter,1,2,-1,1,2,-1,1,1
1930,P,Por,Pinsoglio,Juventus,1,1,0,1,1,0,1,1
6417,P,Por,Furlanetto,Lazio,1,1,0,1,1,0,1,1
6482,P,Por,Mandas,Lazio,1,1,0,1,1,0,1,1
2401,P,Por,Fruchtl,Lecce,1,1,0,1,1,0,1,1
6523,P,Por,Samooja,Lecce,1,1,0,1,1,0,1,1
6505,P,Por,Nava,Milan,1,1,0,1,1,0,1,1
4,P,Por,Sportiello,Milan,1,1,0,1,1,0,1,1
2178,P,Por,Cragno,Monza,1,1,0,1,1,0,1,1
2845,P,Por,Contini,Napoli,1,1,0,1,1,0,1,1
6662,P,Por,Corvi,Parma,1,1,0,1,1,0,1,1
5320,P,Por,Paleari,Torino,1,1,0,1,1,0,1,1
543,P,Por,Padelli,Udinese,1,1,0,1,1,0,1,1
6671,P,Por,Grandi,Venezia,1,1,0,1,1,0,1,1
4491,P,Por,Berardi A.,Verona,1,1,0,1,1,0,1,1
511,P,Por,Perilli,Verona,1,1,0,1,1,0,1,1
6682,P,Por,Pizzignacco,Monza,1,1,0,1,1,0,1,1
4351,P,Por,Brancolini,Empoli,1,1,0,1,1,0,1,1
4929,P,Por,Ciocci,Cagliari,1,1,0,1,1,0,1,1
6813,P,Por,Torriani,Milan,1,1,0,1,1,0,1,1
216,P,Por,Donnarumma An.,Torino,1,1,0,1,1,0,1,1
6824,P,Por,Marin Re.,Roma,1,1,0,1,1,0,1,1
4270,P,Por,Rui Patricio,Atalanta,1,1,0,1,1,0,1,1
6919,P,Por,Seghetti,Empoli,1,1,0,1,1,0,1,1
5707,P,Por,Piana,Udinese,1,1,0,1,1,0,1,1
6970,P,Por,Selvik,Udinese,1,1,0,1,1,0,1,1
797,P,Por,Marcone,Parma,1,1,0,1,1,0,1,1
6569,P,Por,Stolz,Genoa,1,1,0,1,1,0,1,1
254,D,E,Dimarco,Inter,23,24,-1,22,23,-1,107,107
5513,D,E,Dumfries,Inter,22,16,6,22,15,7,99,99
2816,D,B;Dd;E,Di Lorenzo,Napoli,19,18,1,19,20,-1,102,112
2120,D,Dc,Bastoni,Inter,18,16,2,18,16,2,85,85
4433,D,Dd;Ds;E,Zortea,Cagliari,17,7,10,17,8,9,64,74
5620,D,Ds;E,Tavares N.,Lazio,17,6,11,17,6,11,87,87
554,D,E,Zappacosta,Atalanta,16,9,7,16,8,8,25,25
2724,D,Dc,Buongiorno,Napoli,16,16,0,16,16,0,71,71
5877,D,E,Carlos Augusto,Inter,15,9,6,15,8,7,25,25
2160,D,E,Gosens,Fiorentina,15,13,2,15,12,3,52,52
2525,D,B;Dd;E,Darmian,Inter,14,8,6,14,9,5,18,23
